Date,Florida,Louisiana,Indiana,New_Jersey,North_Dakota,Minnesota
09/15/2020,2743,371,689,492,269,231
09/16/2020,2288,612,580,454,448,231
09/17/2020,3273,478,837,631,448,909
09/18/2020,3177,979,1037,538,377,1085
09/19/2020,3510,468,1076,498,351,914
09/20/2020,2497,468,746,497,286,2221
09/21/2020,1671,243,522,477,264,480
09/22/2020,2414,752,599,506,473,678
09/23/2020,2594,616,711,490,470,1044
09/24/2020,2477,577,899,641,434,1044
09/25/2020,2809,706,1171,626,495,1470
09/26/2020,2731,461,1142,816,344,989
09/27/2020,1847,461,901,759,259,989
09/28/2020,728,240,872,657,419,404
09/29/2020,3209,533,744,568,444,404
09/30/2020,1880,610,953,814,372,687
10/01/2020,2551,551,1157,711,476,1066
10/02/2020,2610,817,1464,835,440,1166
10/03/2020,2726,446,1419,1023,416,2460
10/04/2020,1813,446,1087,694,312,957
10/05/2020,1405,218,830,604,502,957
10/06/2020,2202,532,970,740,493,1091
10/07/2020,2544,2156,1281,624,527,1091
10/08/2020,3246,524,1450,1417,656,695
10/09/2020,2853,257,1816,991,588,695
10/10/2020,2707,590,1918,960,637,2956
10/11/2020,2707,590,1570,836,472,1171
10/12/2020,1519,60,1574,627,508,1435
10/13/2020,2657,682,1549,1191,702,534
10/14/2020,2808,880,1165,1145,706,534
10/15/2020,3286,743,1943,1159,864,1163
10/16/2020,3365,774,2283,1043,744,2290
10/17/2020,3968,571,2482,1088,717,1694
10/18/2020,2474,571,1605,1455,659,3349
10/19/2020,1691,201,1584,1438,1029,546
10/20/2020,3556,699,1498,1263,499,546
10/21/2020,2106,1363,1732,1314,887,1060
10/22/2020,5461,772,2850,1435,887,1561
10/23/2020,3618,699,2467,1342,935,1711
10/24/2020,4381,486,2741,2188,845,2259
10/25/2020,2348,486,2153,1408,522,1680
10/26/2020,3336,227,1974,1648,889,1570
10/27/2020,4226,922,1983,1994,777,2164
10/28/2020,4005,1098,2548,2091,1223,1908
10/29/2020,4111,394,3618,1971,1353,2867
10/30/2020,5383,433,3163,2363,1433,3154
10/31/2020,2283,535,3465,1745,1127,3007
11/01/2020,4805,535,2750,2171,972,2200
11/02/2020,4569,275,3077,1945,1172,2948
11/03/2020,4553,1153,2881,2432,1114,3476
11/04/2020,4332,1016,3698,3046,1536,3827
11/05/2020,6120,681,4412,2575,1765,3942
11/06/2020,5150,870,4647,2760,1602,5442
11/07/2020,4380,633,4899,3683,1101,4647
11/08/2020,6619,633,4652,2506,1018,5908
11/09/2020,3845,391,4135,2717,1018,3926
11/10/2020,4282,1330,4829,4447,1031,4893
11/11/2020,5669,1914,5036,3810,1800,4889
11/12/2020,5504,1914,6591,4117,1429,7225
11/13/2020,6760,3450,5600,4016,2270,5544
11/14/2020,4405,1266,8322,4856,924,8689
11/15/2020,9820,1266,6710,5055,1089,7553
11/16/2020,4530,546,5147,2925,1082,7437
11/17/2020,7285,2626,5463,4749,1263,5931
11/18/2020,7727,2229,6015,4736,1382,5094
11/19/2020,8882,2052,7281,4880,1404,7863
11/20/2020,8831,4743,6808,4213,1524,6794
11/21/2020,8175,1741,6872,5144,1143,6252
11/22/2020,6374,1741,6174,4427,714,7205
11/23/2020,6114,968,5556,4275,1004,6343
11/24/2020,8102,3243,5625,4987,1077,6416
11/25/2020,8126,1235,5983,4730,964,6387
11/26/2020,8404,2482,6373,4877,790,2849
11/27/2020,8404,2482,5643,4822,703,2849
11/28/2020,6062,821,4471,3740,723,9022
11/29/2020,7131,821,4304,5187,594,8946
11/30/2020,6426,169,5665,4024,403,5794
12/01/2020,8540,5326,5396,5463,480,3549
12/02/2020,9890,3595,6597,5061,970,5165
12/03/2020,10656,2743,8460,5563,844,6149
12/04/2020,9898,3099,7899,6386,555,5347
12/05/2020,10198,1973,7690,5924,477,6308
12/06/2020,8175,1973,6598,6602,361,5581
12/07/2020,7537,1013,5661,4420,475,5290
12/08/2020,7801,2426,5385,6166,2333,3051
12/09/2020,9411,4352,5754,5111,557,4516
12/10/2020,11071,2415,6518,5803,506,3499
12/11/2020,11409,2862,7200,4299,377,3750
12/12/2020,10385,2211,7401,6795,281,4430
12/13/2020,8762,2211,5898,4693,196,3425
12/14/2020,8343,1030,4967,5536,326,3018
12/15/2020,9296,2633,4241,4607,334,2323
12/16/2020,11282,3269,6208,6317,334,2248
12/17/2020,13102,3776,6340,4806,494,2759
12/18/2020,12827,3113,5949,4566,231,2718
12/19/2020,11456,1855,4732,4751,251,2746
12/20/2020,8140,1855,6483,5688,82,2684
12/21/2020,10907,1116,3865,3876,332,1992
