submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
05/21/2020,OH,30167,28174,1993,731,74,1836,1653,183,55,5,05/22/2020 03:31:45 PM,Agree,Agree
11/04/2020,OH,230209,217119,13090,4071,302,5428,5102,326,55,2,11/05/2020 14:39,Agree,Agree
11/18/2020,OH,318828,302516,16312,6385,256,5827,5462,365,55,5,11/19/2020 03:01:36 PM,Agree,Agree
04/14/2020,OH,7280,7153,127,305,33,324,,,56,,04/13/2020 04:22:39 PM,Agree,Agree
12/14/2020,OH,570602,522467,48135,7875,1399,7551,6972,579,59,10,12/15/2020 02:39:02 PM,Agree,Agree
05/20/2020,OH,29436,27517,1919,484,73,1781,1603,178,61,14,05/21/2020 03:41:38 PM,Agree,Agree
12/28/2020,OH,675044,608429,66615,4519,1304,8571,7791,780,62,3,12/29/2020 02:56:32 PM,Agree,Agree
05/19/2020,OH,28952,27106,1846,680,38,1720,1556,164,63,11,05/20/2020 03:28:26 PM,Agree,Agree
11/19/2020,OH,326615,310103,16512,7787,200,5890,5522,368,63,3,11/20/2020 03:06:16 PM,Agree,Agree
12/07/2020,OH,484297,458993,25304,9273,247,7022,6544,478,63,7,12/08/2020 14:59,Agree,Agree
12/19/2020,OH,614429,557616,56813,8567,1419,8031,7352,679,64,10,12/20/2020 02:32:33 PM,Agree,Agree
12/05/2020,OH,467432,442459,24973,10469,334,6946,6475,471,64,20,12/06/2020 14:51,Agree,Agree
11/20/2020,OH,335423,318151,17272,8808,760,5955,5578,377,65,9,11/21/2020 02:59:41 PM,Agree,Agree
10/21/2020,OH,188005,177098,10907,2366,127,5149,4839,310,66,2,10/22/2020 01:34:46 PM,Agree,Agree
11/27/2020,OH,399808,378082,21726,17065,606,6346,5932,414,72,9,11/28/2020 02:46:47 PM,Agree,Agree
12/18/2020,OH,605862,550468,55394,9684,1902,7967,7298,669,73,16,12/19/2020 02:42:31 PM,Agree,Agree
12/21/2020,OH,629354,570774,58580,6548,1103,8122,7423,699,75,16,12/22/2020 02:35:48 PM,Agree,Agree
11/11/2020,OH,267356,252510,14846,5874,624,5623,5285,338,76,3,11/12/2020 14:55,Agree,Agree
05/12/2020,OH,25250,23809,1441,473,64,1436,1303,133,79,12,05/13/2020 03:26:08 PM,Agree,Agree
05/05/2020,OH,20969,20072,897,495,32,1135,1038,97,79,16,05/06/2020 16:23,Agree,Agree
12/08/2020,OH,510018,470721,39297,25721,13993,7103,6601,502,81,24,12/09/2020 14:45,Agree,Agree
12/03/2020,OH,446849,422848,24001,8921,288,6753,6304,449,82,2,12/04/2020 15:00,Agree,Agree
05/23/2020,OH,31408,29288,2120,614,84,1956,1756,200,84,19,05/24/2020 02:15:55 PM,Agree,Agree
12/09/2020,OH,520112,478879,41233,10094,1936,7187,6675,512,84,10,12/10/2020 14:50,Agree,Agree
09/15/2020,OH,139485,132118,7367,1001,118,4506,4207,299,87,6,09/16/2020 01:53:41 PM,Agree,Agree
10/02/2020,OH,156809,147797,9012,1495,136,4905,4597,308,88,5,10/03/2020 13:39,Agree,Agree
05/06/2020,OH,21576,20625,951,607,54,1225,1114,111,90,14,05/07/2020 22:59,Agree,Agree
12/24/2020,OH,653650,590630,63020,8828,1316,8456,7687,769,95,21,12/25/2020 02:25:34 PM,Agree,Agree
11/24/2020,OH,371908,351304,20604,8604,1354,6118,5728,390,98,5,11/25/2020 02:53:15 PM,Agree,Agree
12/15/2020,OH,579357,529508,49849,8755,1714,7654,7054,600,103,21,12/16/2020 02:28:57 PM,Agree,Agree
12/31/2020,OH,700380,628336,72044,9632,1477,8962,8112,850,107,4,01/01/2021 14:49,Agree,Agree
12/23/2020,OH,644822,583118,61704,7790,1474,8361,7613,748,109,26,12/24/2020 02:31:20 PM,Agree,Agree
12/17/2020,OH,596178,542686,53492,11412,2025,7894,7241,653,117,17,12/18/2020 02:45:01 PM,Agree,Agree
12/01/2020,OH,430093,406780,23313,9030,621,6548,6111,437,119,17,12/02/2020 15:48,Agree,Agree
12/16/2020,OH,584766,533299,51467,5409,1618,7777,7141,636,123,36,12/17/2020 02:33:42 PM,Agree,Agree
12/02/2020,OH,437928,414215,23713,7835,400,6671,6224,447,123,10,12/03/2020 15:21,Agree,Agree
12/04/2020,OH,456963,432324,24639,10114,638,6882,6431,451,129,2,12/05/2020 14:29,Agree,Agree
12/22/2020,OH,637032,576802,60230,7678,1650,8252,7530,722,130,23,12/23/2020 02:36:58 PM,Agree,Agree
12/30/2020,OH,690748,620181,70567,8178,2028,8855,8009,846,133,27,12/31/2020 02:55:07 PM,Agree,Agree
04/29/2020,OH,17303,16601,702,534,61,937,856,81,138,39,04/30/2020 04:07:01 PM,Agree,Agree
12/29/2020,OH,682570,614031,68539,7526,1924,8722,7903,819,151,39,12/30/2020 02:56:20 PM,Agree,Agree
11/25/2020,OH,382743,361623,21120,10835,516,6274,5869,405,156,15,11/26/2020 02:44:21 PM,Agree,Agree
12/11/2020,OH,542209,497565,44644,22097,3411,7426,6864,562,239,50,12/12/2020 14:59,Agree,Agree
